chapter,title,word_count,characters,events,source_url,parsed_at
138,133. [¦¦. (1)],2773,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-138,2026-05-27T17:44:00.318194
139,134. [¦¦. (2)],2969,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-139,2026-05-27T17:44:00.327571
140,135. [¦¦. (3)],2454,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-140,2026-05-27T17:44:00.331995
141,136. [Surviving (1)],2308,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-141,2026-05-27T17:44:00.336082
142,137. [Surviving (2)],2816,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-142,2026-05-27T17:44:00.340431
143,138. [Surviving (3)],2547,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-143,2026-05-27T17:44:00.345326
144,139. [Latecomer. (1)],2402,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-144,2026-05-27T17:44:00.349351
145,140. [Latecomer. (2)],2622,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-145,2026-05-27T17:44:00.353764
146,141 [Latecomer. (3)],3098,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-146,2026-05-27T17:44:00.359102
147,142. [Rooftop. (1)],2513,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-147,2026-05-27T17:44:00.363102
148,143. [Rooftop. (2)],2336,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-148,2026-05-27T17:44:00.367172
149,144 [Rooftop. (3)],2438,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-149,2026-05-27T17:44:00.371225
150,145. [Friend. (1)],2246,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-150,2026-05-27T17:44:00.375614
151,146. [Friend. (2)],2987,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-151,2026-05-27T17:44:00.380067
152,147. [Friend. (3)],2915,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-152,2026-05-27T17:44:00.384275
153,148. [Prologue. (1)],1985,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-153,2026-05-27T17:44:00.388158
154,149. [Prologue. (2)],2453,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-154,2026-05-27T17:44:00.393023
155,150. [Prologue. (3)],2231,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-155,2026-05-27T17:44:00.397086
156,151. [Prologue. (4)],2926,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-156,2026-05-27T17:44:00.401446
157,152. [Soaring. (1)],2380,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-157,2026-05-27T17:44:00.406154
158,153. [Soaring. (2)],2778,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-158,2026-05-27T17:44:00.410511
159,154. [Soaring. (3)],2819,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-159,2026-05-27T17:44:00.414861
160,155. [Becoming a God. (1)],3172,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-160,2026-05-27T17:44:00.419699
161,156. [Becoming a God. (2)],2553,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-161,2026-05-27T17:44:00.424471
162,156. [Becoming a God. (3)],2591,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-162,2026-05-27T17:44:00.429012
163,158. [The Great Snail Empire. (1)],2601,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-163,2026-05-27T17:44:00.433083
164,159. [The Great Snail Empire. (2)],2002,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-164,2026-05-27T17:44:00.437399
165,160. [The Great Snail Empire. (3)],2438,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-165,2026-05-27T17:44:00.441479
166,161. [Cave Fire (1)],2320,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-166,2026-05-27T17:44:00.445704
167,162. [Cave Fire (2)],2152,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-167,2026-05-27T17:44:00.449686
168,163. [Cave Fire (3)],2169,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-168,2026-05-27T17:44:00.454260
169,"164. [Rain, Mud, and Fire (1)]",2399,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-169,2026-05-27T17:44:00.458299
170,"165. [Rain, Mud, and Fire (2)]",2418,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-170,2026-05-27T17:44:00.462534
171,"166. [Rain, Mud, and Fire (3)]",2731,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-171,2026-05-27T17:44:00.466939
172,"167. [Rain, Mud, and Fire (4)]",2754,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-172,2026-05-27T17:44:00.471841
173,168. [The Gap Between Master and Friend (1)],2184,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-173,2026-05-27T17:44:00.475683
174,169. [The Gap Between Master and Friend (2)],2326,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-174,2026-05-27T17:44:00.479765
175,170. [The Gap Between Master and Friend (3)],2489,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-175,2026-05-27T17:44:00.484405
